ID,HH_ID,HH_WEIGHT,TOT_VEH,OP_VEH,VEH_NUM,VEH_ID,VEH_OWN,YEAR,MAKE,MODEL,BODY,VEH_TYPE
3346,383429,59.91457802,2,2,1,38342901,1,2011,19,CHEROKEE,2,2
3347,383429,59.91457802,2,2,2,38342902,1,2000,26,230 KOMPRESSOR,1,2
3348,383431,1019.897822,2,2,1,38343101,1,9998,10,FOCUS,97,2
3349,383431,1019.897822,2,2,2,38343102,1,9998,10,FOCUS,98,2
3350,383566,67.33991952,2,2,1,38356601,1,2001,3,525I,1,2
3351,383566,67.33991952,2,2,2,38356602,1,2003,14,S 2000,5,2
3352,383595,212.1429373,3,3,1,38359501,1,2010,24,3,1,2
3353,383595,212.1429373,3,3,2,38359502,1,2003,16,G35,1,2
3354,383595,212.1429373,3,3,3,38359503,1,2012,24,3,1,2
3355,383756,140.0677812,1,1,1,38375601,1,2009,39,COROLLA,1,2
3356,383842,86.38995021,2,2,1,38384201,1,2009,37,IMPREZA,1,2
3357,383842,86.38995021,2,2,2,38384202,1,2010,14,ACCORD,1,2
3358,383898,92.46269829,1,1,1,38389801,1,2003,14,ACCORD,4,2
3359,383940,229.1713936,2,2,1,38394001,1,2000,15,ELANTRA,7,2
3360,383940,229.1713936,2,2,2,38394002,1,2011,15,ELANTRA,7,2
3361,384079,71.2483343,2,2,1,38407901,1,2011,7,300,1,2
3362,384079,71.2483343,2,2,2,38407902,1,2004,8,DURANGO,2,2
3363,384092,214.2714577,2,2,1,38409201,1,2003,10,FOCUS,1,2
3364,384092,214.2714577,2,2,2,38409202,1,2006,39,SCION,1,2
3365,384155,93.49839882,1,1,1,38415501,1,2003,40,JETTA,1,2
3366,384240,141.6496873,1,1,1,38424001,2,2012,40,TIGUAN,2,2
3367,384253,282.0766519,2,1,1,38425301,1,2000,39,CAMRY,1,2
3368,384255,133.6471318,1,1,1,38425501,1,2010,4,ENCLAVE,2,2
3369,384271,124.9184848,2,2,1,38427101,1,2006,26,E350,1,2
3370,384271,124.9184848,2,2,2,38427102,1,2013,1,RDX,7,2
3371,384309,326.4368151,2,2,1,38430901,1,2000,31,GRAND VOYAGER,8,2
3372,384309,326.4368151,2,2,2,38430902,1,1997,36,SL2,1,2
3373,384328,95.75493633,2,1,1,38432801,1,2009,10,FOCUS,1,2
3374,384330,79.28377607,2,2,1,38433001,1,2007,14,ACCORD,1,2
3375,384330,79.28377607,2,2,2,38433002,1,2001,40,PASSAT,7,2
3376,384380,212.6459498,2,2,1,38438001,1,2004,6,MALIBU,1,2
3377,384380,212.6459498,2,2,2,38438002,1,2007,6,MALIBU,1,2
3378,384420,125.5299342,2,2,1,38442001,1,2011,29,sentra,1,2
3379,384420,125.5299342,2,2,2,38442002,1,2005,24,tribute,2,2
3380,384611,56.95886469,2,2,1,38461101,1,1997,18,X TYPE,97,2
3381,384611,56.95886469,2,2,2,38461102,1,1999,23,TOWNCAR,1,2
3382,384654,150.5835184,3,3,1,38465401,2,2012,26,E350,1,2
3383,384654,150.5835184,3,3,2,38465402,1,1998,26,E320,1,2
3384,384654,150.5835184,3,3,3,38465403,1,2003,7,TOWN AND COUNTRY,8,2
3385,384665,95.13184704,1,1,1,38466501,1,2010,29,INFINITI,1,2
3386,384731,786.1564235,3,3,1,38473101,1,2010,15,SONATA,1,2
3387,384731,786.1564235,3,3,2,38473102,1,2002,8,NEON,1,2
3388,384731,786.1564235,3,3,3,38473103,1,2012,14,ACCORD,1,2
3389,384743,146.8159121,2,2,1,38474301,1,2004,14,MDX,2,2
3390,384743,146.8159121,2,2,2,38474302,1,2007,39,RX,2,2
3391,384809,130.015946,5,5,1,38480901,1,2004,6,TAHOE,2,2
3392,384809,130.015946,5,5,2,38480902,1,2009,13,ELECTRA GLIDE,12,2
3393,384809,130.015946,5,5,3,38480903,1,2001,10,WINDSTAR,8,2
3394,384809,130.015946,5,5,4,38480904,1,2011,13,SOFTAIL DELUXE,12,2
3395,384809,130.015946,5,5,5,38480905,1,2011,13,XR 1200,12,2
3396,384837,219.9094027,2,2,1,38483701,1,2001,14,ODYSSEY,8,2
3397,384837,219.9094027,2,2,2,38483702,1,1998,36,SL2,1,2
3398,384889,111.7992812,1,1,1,38488901,1,2004,39,PRIUS,1,1
3399,384949,142.424779,2,2,1,38494901,1,2001,39,COROLLA,1,2
3400,384949,142.424779,2,2,2,38494902,1,2000,39,TACOMA,3,2
3401,384968,184.9597351,1,1,1,38496801,1,2005,29,ALTIMA,1,2
3402,385096,247.6547545,1,1,1,38509601,1,2010,8,GRAND CARAVAN,9,2
3403,385136,119.4780569,2,2,1,38513601,1,2004,37,FORESTER,2,2
3404,385136,119.4780569,2,2,2,38513602,1,2009,39,TUNDRA,3,2
3405,385192,150.6577608,1,1,1,38519201,1,2002,15,ELANTRA,1,2
