ID,HH_ID,PERSON_NUM,PERSON_ID,HH_WEIGHT,P_WEIGHT,P_TOT_TRIPS,P_MO_TRIPS,P_NM_TRIPS,GPS_Factor,F_P_TOT_TRIPS,F_P_MO_TRIPS,F_P_NM_TRIPS,GEND,AGECAT,RACE,EDUCA,RELAT,LIC,EMPLY,WK_STAT,SEMPLY,JOBS,WK_LOC,W_GEO_ACC,W_STATE,W_REGION,W_COUNTY,W_CPA,W_MCD,W_TRACT,W_TAZ,HOURS,OCCUP,WK_MODE,WK_MODETMS,ARRV_WRK,ARRV_TMS,LV_WRK,LV_TMS,TCOMM,PARK_SUB,PARK_SUB_AMT,TRAN_SUB,TRAN_SUB_AMT,WDAY_1,WDAY_2,WDAY_3,WDAY_4,WDAY_5,WDAY_6,WDAY_7,STUDE,SCHOL,S_HOME,S_ONLN,S_GEO_ACC,S_STATE,S_REGION,S_COUNTY,S_CPA,S_MCD,S_TRACT,S_TAZ,PRESCH_1,PRESCH_2,PRESCH_3,T_TRIP,PAY_TYPE1,PAY_TYPE2,PAY_TYPE3,TAP
2491,339659,2,33965902,352.5548795,327.8643367,3,3,0,1.15,3.45,3.45,0,2,8,1,6,1,1,1,,2,1,3,1,34,1,34021,021_604,3402180240,34021004304,18621,80,25,1,10,5,9,1,9,,3,,2,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
2492,339659,3,33965903,352.5548795,294.7192479,2,2,0,1.15,2.3,2.3,0,1,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,1,34,1,34021,021_604,3402180240,34021004304,18623,,,,0,,,,
2493,339735,1,33973501,977.4426588,469.0181862,3,3,0,1.15,3.45,3.45,0,1,8,1,6,0,1,1,,2,1,3,1,42,1,42091,091_404,4209179256,42091206104,10622,55,29,1,10,7,8,2,8,4,3,,2,,1,2,3,4,5,,,3,,,,1,34,1,34015,015_905,3401543440,34015500702,24822,,,,0,,,,
2494,339735,2,33973502,977.4426588,438.3995893,3,3,0,1.15,3.45,3.45,0,2,8,1,6,1,1,1,,2,1,1,1,42,1,42101,101_110,4210160000,42101007700,1015,55,25,1,10,6,8,5,7,0,2,,2,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,5,1,,,
2495,339735,3,33973503,977.4426588,737.1679276,2,1,1,1.15,2.3,1.15,1.15,2,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,,1,34,1,34015,015_905,3401530180,34015502002,24810,,,,0,,,,
2496,339735,4,33973504,977.4426588,737.1679276,2,2,0,1.15,2.3,2.3,0,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,1,34,1,34015,015_905,3401543440,34015500702,24822,,,,,,,,
2497,339836,1,33983601,172.2729426,79.80180048,2,2,0,1.17,2.34,2.34,0,2,10,2,2,0,1,1,,2,1,1,2,42,1,42091,091_403,4209121600,42091203304,10401,15,41,1,8,5,8,1,8,0,2,,2,,1,3,5,6,,,,3,,,,,,,,,,,,,,,0,,,,
2498,339882,1,33988201,124.6551329,87.8848396,3,3,0,1.17,3.51,3.51,0,1,8,1,2,0,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2499,339882,2,33988202,124.6551329,81.30902891,3,3,0,1.17,3.51,3.51,0,2,11,1,2,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2500,339892,1,33989201,100.3725551,109.4815205,0,0,0,1.12,0,0,0,2,9,1,2,0,1,1,,2,2,1,1,42,1,42101,101_103,4210160000,42101000100,87,60,33,1,10,8,10,7,10,0,2,,2,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
2501,339937,1,33993701,73.74210181,81.33320366,2,2,0,1.17,2.34,2.34,0,2,10,1,4,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2502,339937,2,33993702,73.74210181,84.83987937,2,2,0,1.17,2.34,2.34,0,1,10,1,5,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
