ID,HH_ID,HH_WEIGHT,HH_GEO_ACC,H_STATE,H_COUNTY,H_CPA,H_MCD,H_TRACT,H_TAZ,A_TYPE,HH_TOT_TRIPS,HH_MO_TRIPS,HH_NM_TRIPS,GPS_Factor,F_HH_TOT_TRIPS,F_HH_MO_TRIPS,F_HH_NM_TRIPS,HH_SIZE,HH_WORK,TOT_VEH,OP_VEH,VEH_OUT,TOT_BIKE,TOLL_ACCNT,CAR_SHARE,RES_TYPE,INCOME,TRAV_DATE,TRAV_DOW,HOLIDAY,HOL_TYPE,OV_SAMPLE,STUDY,RECRUIT,RETRIEVE,R_LANG,SURV_LANG
12,101057,202.6155458,1,34,34005,005_702,3400549020,34005702915,20277,4,1,1,0,1.17,1.17,1.17,0,1,0,1,1,15,1,1,2,2,4,8/3/2012,5,,0,0,1,1,3,1,1
13,101096,277.1568938,1,34,34005,005_703,3400529010,34005703000,20407,5,11,11,0,1.13,12.43,12.43,0,3,2,4,4,10,0,1,1,1,99,8/7/2012,2,,0,0,1,1,2,1,1
14,101113,86.80244895,1,34,34005,005_703,3400542060,34005703104,20414,5,2,2,0,1.12,2.24,2.24,0,1,0,1,1,5,1,2,2,1,6,8/1/2012,3,,0,0,1,1,2,1,1
15,101162,97.40579057,1,34,34005,005_703,3400568610,34005703203,20425,5,4,4,0,1.17,4.68,4.68,0,1,0,1,1,3,0,1,2,1,5,8/3/2012,5,,0,0,1,1,3,1,1
16,101175,138.376508,1,34,34005,005_703,3400568610,34005703203,20425,5,2,2,0,1.17,2.34,2.34,0,1,0,1,1,3,1,2,2,1,2,8/10/2012,5,,0,0,1,1,3,1,1
17,101182,67.10971462,1,34,34005,005_703,3400568610,34005703203,20425,5,5,5,0,1.17,5.85,5.85,0,2,0,2,2,10,0,1,2,1,5,8/3/2012,5,,0,0,1,1,3,1,1
18,101191,72.40040419,1,34,34005,005_705,3400572060,34005703600,20818,6,4,4,0,1.17,4.68,4.68,0,2,0,3,3,2,0,2,2,1,5,8/3/2012,5,,0,0,1,1,3,1,1
19,101256,246.4251746,1,34,34005,005_702,3400545120,34005703802,20239,5,10,10,0,1.12,11.2,11.2,0,3,2,2,2,5,5,2,1,1,7,8/9/2012,4,,0,0,1,1,3,1,1
20,101258,137.2382903,1,34,34005,005_702,3400545120,34005703802,20241,5,3,3,0,1.12,3.36,3.36,0,2,0,1,1,9000,2,1,2,2,7,8/7/2012,2,,0,0,1,1,2,1,1
21,101297,66.08237697,1,34,34005,005_702,3400545210,34005703900,20245,4,10,10,0,1.12,11.2,11.2,0,2,0,2,2,5,1,1,2,1,6,8/2/2012,4,,0,0,1,1,3,1,1
22,101461,655.7720162,1,34,34005,005_702,3400549020,34005702908,20263,5,1,1,0,1.12,1.12,1.12,0,1,1,1,0,,1,1,2,1,6,9/6/2012,4,,0,0,2,2,3,1,1
23,101973,182.2259647,1,34,34007,007_802,3400712280,34007603302,22230,4,10,10,0,1.12,11.2,11.2,0,3,1,3,3,1,0,1,1,1,6,8/3/2012,5,,0,0,1,1,2,1,1
24,101983,112.1650237,1,34,34007,007_802,3400712280,34007603302,22230,4,9,9,0,1.12,10.08,10.08,0,2,2,2,2,5,2,1,2,1,7,7/31/2012,2,,0,0,1,1,3,1,1
25,102040,108.9402268,1,34,34007,007_802,3400712280,34007603501,22215,4,3,3,0,1.12,3.36,3.36,0,1,1,1,1,4,1,2,2,1,6,7/31/2012,2,,0,0,1,1,2,1,1
